인구,CODE
50137,3901054
43217,3901065
56223,3901066
36550,3901012
34684,3901052
25003,3901011
34321,3901063
24718,3901014
23094,3902011
24163,3902057
16283,3901013
25391,3901060
7989,3901053
17180,3902013
14345,3901055
2993,3901051
3984,3902053
12824,3902032
21741,3901067
19778,3902012
8662,3901056
15673,3901058
12537,3902031
3257,3901069
14906,3901064
25153,3901061
7610,3901057
9857,3901059
11482,3902061
3657,3902054
14156,3902059
9447,3901031
2444,3902052
10697,3902058
13930,3902060
5478,3902056
4414,3902062
5027,3902051
1892,3901033
5396,3902055
4654,3901068
4936,3901062
2149,3901032
